Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL3658744,,Cc1cc(-c2n[nH]c3cc(NC(=O)NC4CCCC(O)C4)ncc23)ccn1,IC50,'=',6.177,nM
CHEMBL3658749,,Cc1cc(-c2n[nH]c3cc(NC(=O)NCC(c4ccccc4)C4(O)CCOCC4)ncc23)ccn1,IC50,'=',0.939,nM
CHEMBL3658808,,Cc1cc(-c2n[nH]c3cc(NC(=O)NCc4ccc(C#N)cc4)ncc23)ccn1,IC50,'=',3.735,nM
CHEMBL3658819,,COC(=O)C(NC(=O)Nc1cc2[nH]nc(-c3ccnc(C)c3)c2cn1)C(F)(F)F,IC50,'=',31.15,nM
CHEMBL3658829,,Cc1cc(-c2n[nH]c3cc(NC(=O)NC4COc5ccccc5C4)ncc23)ccn1,IC50,'=',1.253,nM
CHEMBL3662947,,Cc1cc(-c2n[nH]c3cc(NC(=O)NCc4cnccc4C)ncc23)ccn1,IC50,'=',1.413,nM
CHEMBL3663030,,Cc1cc(-c2n[nH]c3cc(NC(=O)N(C)C4CCCCC4)ncc23)ccn1,IC50,'=',2453.0,nM
CHEMBL3663035,,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H]4CN(C)C[C@H]4c4cccc(Cl)c4)ncc23)ccn1,IC50,'=',0.233,nM
CHEMBL3663056,,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@H](C)Cc4ccccc4)ncc23)ccn1,IC50,'=',3.421,nM
CHEMBL3663061,,C[C@@H](NC(=O)Nc1cc2[nH]nc(C(C)(C)O)c2cn1)c1ccccc1,IC50,'=',122.5,nM
CHEMBL3663076,,Cc1cc(-c2n[nH]c3cc(NC(=O)NC4CCCC(Oc5ccc(Cl)c(F)c5)C4)ncc23)ccn1,IC50,'=',36.43,nM
CHEMBL3663138,,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@H](COCC(F)F)c4ccccc4)ncc23)no1,IC50,'=',4.569,nM
CHEMBL247619,,CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc4c(c3)OC(F)(F)C(F)(F)O4)cnn2C)cn1,IC50,'=',448.0,nM
CHEMBL247250,,CNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1,IC50,'=',508.0,nM
CHEMBL3590109,,C=CS(=O)(=O)N1CCc2cnc(NC3CCOCC3)nc2C1,IC50,'=',220.0,nM
CHEMBL3590115,,CNC(=O)c1ccccc1Nc1cc(NC2CCOCC2)ncc1Cl,IC50,'=',260.0,nM
CHEMBL3590119,,CCC(=O)Nc1ccccc1Nc1nc(NC2CCOCC2)ncc1Cl,IC50,'=',480.0,nM
CHEMBL3298984,,C[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c1ccc(Cl)c(F)c1,IC50,'=',1.0,nM
CHEMBL3590111,,C=CS(=O)(=O)N1CCc2[nH]nc(-c3ccnc(C)c3)c2C1,IC50,'=',380.0,nM
CHEMBL3590122,,C=CC(=O)Nc1ccccc1Nc1nc(NC2CCOCC2)ncc1C,IC50,'=',88.0,nM
CHEMBL3590121,,C=CC(=O)Nc1ccccc1Nc1nc(NC2CCOCC2)ncc1C(F)(F)F,IC50,'=',8.5,nM
CHEMBL3590118,,C=CC(=O)Nc1ccccc1Nc1nc(NC2CCOCC2)ncc1Cl,IC50,'=',5.4,nM
CHEMBL3356129,,CC(=O)c1ccc(N2CCN(C(=O)CN3CC[C@@H](C(=O)Nc4ccc(O)c(C)c4)C3)CC2)cc1,IC50,'=',2500.0,nM
CHEMBL3356116,,O=C(Nc1ccc(O)cc1)C1CCN(CC(=O)N2CCN(c3cccc(Cl)c3)CC2)C1,IC50,'=',920.0,nM
CHEMBL3955181,,O=C(N[C@@H](c1ccc(F)c(Cl)c1)[C@]1(F)CCNC1)c1ccc2cnc(NC3CCOCC3)nc2c1,IC50,'=',1.6,nM
CHEMBL4100076,,O=C1c2cc(-c3ccnc(NC4CCOCC4)n3)[nH]c2CCN1[C@H](CO)c1ccc(Cl)c(F)c1,IC50,'=',3.7,nM
CHEMBL4070818,,CN1CCc2[nH]c(-c3ccnc(NC4CCOCC4)n3)cc2C1=O,IC50,'=',130.0,nM
CHEMBL3628360,,c1cncc(-c2cnc3[nH]ccc3n2)c1,IC50,'=',71500.0,nM
CHEMBL3654785,,COc1ccc(CNC(=O)Nc2cc3[nH]nc(C4CC4)c3cn2)cc1,IC50,'=',60.14,nM
CHEMBL3654787,,CCNC(=O)Nc1cc2[nH]nc(C3CC3)c2cn1,IC50,'=',253.0,nM
CHEMBL3658729,,Cc1cc(-c2n[nH]c3cc(NC(=O)NC(CO)c4cc(F)cc(F)c4)ncc23)ccn1,IC50,'=',0.6026,nM
CHEMBL455389,,CC[C@H](CO)Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1,IC50,'=',24000.0,nM
