Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL197580,,CCC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(N)=O)[C@@H](C)O,IC50,'=',497.0,nM
CHEMBL371537,,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(N)=O)[C@@H](C)O,IC50,'=',1070.0,nM
CHEMBL3133461,,CCCCCCCc1ccc(CN(C(=O)c2cccc(OC)c2)c2ccc(O)c(C(=O)O)c2)cc1,IC50,'=',33300.0,nM
CHEMBL3133458,,CCCCCCCc1ccc(CN(C(=O)c2ccc(Oc3ccccc3)cc2)c2ccc(O)c(C(=O)O)c2)cc1,IC50,'=',12800.0,nM
CHEMBL3133456,,O=C(O)c1cc(N(Cc2ccc(Cl)cc2)C(=O)c2ccc(Oc3ccccc3)cc2)ccc1O,IC50,'=',48000.0,nM
CHEMBL3133481,,Cc1ccc(S(=O)(=O)N(CC(=O)N(Cc2ccc(Cl)cc2)c2ccc(O)c(C(=O)O)c2)Cc2ccccc2)cc1,IC50,'=',50000.0,nM
CHEMBL3133496,,O=C(O)c1cc(N(Cc2ccccc2)C(=O)CN(Cc2ccccc2)S(=O)(=O)c2ccc(-c3ccccc3)cc2)ccc1O,IC50,'=',22200.0,nM
CHEMBL583725,,CC(C)C[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1C[C@H]2C[C@H]2[C@H]1C(=O)N[C@@H](CCC(N)=O)[C@@H](C)O,IC50,'=',437.0,nM
CHEMBL2337247,,CCC(Sc1nc2ccc(NC(=O)c3ccc(OC)cc3)cc2s1)C(=O)Nc1ccc(Br)cc1,IC50,'=',3567.0,nM
CHEMBL116438,CURCUMIN,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,IC50,'=',19250.0,nM
CHEMBL508923,,O=C(Cc1ccc2c(c1)OCO2)NCCc1ccc(O)c(O)c1,IC50,'=',357000.0,nM
CHEMBL3828159,,Clc1cccc(C2=Nn3c(nnc3-c3cc(-c4ccccc4)n[nH]3)SC2)c1,IC50,'=',5600.0,nM
CHEMBL3632630,,C=C1C2=C(C(=O)N1OC)[C@H](O)[C@@](C)(O)[C@H](CCCCC)O2,IC50,'=',610000.0,nM
CHEMBL194446,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)NC1CCCC(C(N)=O)C1,IC50,'=',9810.0,nM
CHEMBL2172015,,O=C(Nc1ccc(C2CCCCC2)cc1)c1nc(-c2ccccc2)oc1Cc1ccc(OP(=O)(O)O)cc1,IC50,'=',33000.0,nM
CHEMBL1726793,,OC(c1ccccc1)C1CCN(c2ncnc3sccc23)CC1,IC50,'=',1837.0,nM
CHEMBL3828538,,Clc1cccc(C2=Nn3c(nnc3-c3[nH]nc4c3CCC4)SC2)c1,IC50,'=',21200.0,nM
CHEMBL1209872,,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)O[C@@H](OC)C[C@H]12,IC50,'=',24800.0,nM
CHEMBL456137,SWEROSIDE,C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)OCC[C@H]21,IC50,'=',89500.0,nM
CHEMBL1209803,MORRONISIDE,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)O[C@@H](O)C[C@H]12,IC50,'=',6900.0,nM
CHEMBL4160655,,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)O[C@@H](O[C@@H]3[C@@H](O)[C@H](O[C@@H]4OC=C(C(=O)OC)[C@H]5C[C@@H](OC)O[C@@H](C)[C@@H]45)O[C@H](CO)[C@H]3O)C[C@H]12,IC50,'=',29700.0,nM
